Species_num,MBS,VSN,CSN,GSN,FPNr,SDLr,SCSr,SCGr,SMr,MTr,PA,PTMr,aNDSr,SVL,TRL,HL,PL,ESD,HW,HH,MO,FFL,HFL
6,43,28,9,25,16,20,6,6,1,1,2,3,2.1,64.5,33.4,19.6,12.7,8.2,7.8,5.4,10.6,20.9,31.4
6,44,28,8,24,16,20,5,6,1,1,1,3,2,60.6,29.3,19.2,12.4,12.7,7.1,5.3,9.7,20,29.3
6,44,27,8,25,15,19,6,3,2,1,2,3,2,56.6,26.3,18.7,11.5,7.4,7.2,5.1,9.4,18.9,29
6,46,26,9,23,16,20,5,5,1,1,1,3,2.2,57.2,27,19.9,12.2,8,7.2,5.2,10.4,19,29.2
6,44,27,8,25,16,20,6,6,1,1,1,3,2.2,57.2,27.5,18.5,11.9,7.8,7.5,4.7,10.3,19.5,28.3
6,44,27,10,25,16,22,6,4,1,0,1,3,2,57.5,28.5,18.5,12.1,7.9,7.1,4.9,9.9,19.2,29.7
6,44,27,10,26,15,19,5,4,0,1,1,4,2.1,65,31.4,19.9,13.2,8.4,8.6,5.6,11.3,19,27
6,46,29,9,24,17,19,6,3,0,2,2,3,2,56,27.5,17.3,11.3,7.3,7.3,4.8,9.6,18,27.7
6,44,27,9,23,17,20,5,6,1,2,2,3,2.1,59.7,31,18.4,12.2,7.8,7.6,5.2,10,19.8,28.6
6,43,28,9,24,16,20,6,5,1,2,2,4,2,55.8,27,16.9,11.5,7.6,7.1,5.3,8.9,19.2,25.3
6,44,27,9,23,16,20,6,5,1,1,1,4,2,59.4,30.3,19,12.4,8.1,7.8,5.1,10.6,19.7,31.7
7,49,27,10,27,20,20,6,12,2,3,3,4,3,55,25,18.3,12.5,8.2,7.8,5.4,10.5,19,28.6
